place,Sentiment score
,0.97653
"Remscheid, Germany",0.8
"Los Angeles, California",0.62
Lao People's Democratic Republic,0.5
"Ahmadabad City, India",0.4
"Manhattan, New York",0.08124999999999999
Jammu And Kashmir,0.03333
"Laguna Beach, California",0
"Maharashtra, India",0
Jamaica,0
"Vienna, Austria",0
"New York, New York ",0
South Africa,0
"Tampa, Florida",0
"Kansas City, Missouri",0
"Ulundi, South Africa",-0.03182
"Silkeborg, Denmark",-0.06667
"Littlerock, California",-0.2
"Sant Antoni de Portmany, Spain",-0.5
"Niger, Nigeria",-0.7